Pop;X;Y
Aus;14.72;48.19
Bel;4.8;50.94
Bul1;26.85;44.06
Bul2;26.7;43.99
Hun;18.87;46.63
Ira;54.78;37.05
Ita;10.52;44.77
Jap;139.43;35.67
Mor;-2.899;32.13
Pol;17.19;51.19
S1;115.56;37.55
S10;111.55;32.56
S11;110.99;34.62
S13;122.52;40.10
S14;124.99;45.03
S15;122.93;42.64
S16;118.27;40.9
S17;116.89;43.3
S18;115.17;24.74
S19;99.94;23.56
S2;117.12;34.81
S20;99.53;23.35
S3;118.59;33.19
S4;118.57;31.40
S5;118.97;30.63
S6;119.57;28.12
S7;110.32;25.27
S9;113.11;29.15
Slo;15.33;46.26
Spa;2.53;41.57
Tai;121.75;24.81
Tib;94.37;29.63
Tur;30.04;40.91
UK;-1.45;51
